CHINESE L,CHINESE R,ENGLISH L,ENGLISH R
坏的,好的,Bad,Good
适度成瘾的,高度成瘾的,Mildly addictive,Highly addictive
热的,冷的,Hot,Cold
平常的,怪异的,Normal,Weird
无色的,多彩的,Colorless,Colorful
低卡路里,高卡路里,Low calorie,High calorie
感觉不好,感觉好,Feels bad,Feels good
无关紧要的,必要的,Inessential,Essential
便宜的,昂贵的,Cheap,Expensive
被低估的武器,被高估的武器,Underrated weapon,Overrated weapon
稀有的,常见的,Rare,Common
不性感的emoji,性感的emoji,Unsexy emoji,Sexy emoji
简单的课题,困难的课题,Easy subject,Hard subject
默默无闻的,著名的,Unknown,Famous
不易使用的,容易使用的,Difficult to use,Easy to use
疲劳的,精力充沛的,Tired,Wired
肮脏的,干净的,Dirty,Clean
需要运气的,需要技巧的,Requires luck,Requires skill
无味的,味道丰富的,Flavorless,Flavorful
无聊的话题,迷人的话题,Boring topic,Fascinating topic
差演员,好演员,Bad actor,Good actor
普通人,嬉皮士,Basic,Hipster
危险的工作,安全的工作,Dangerous job,Safe job
奇幻,科幻,Fantasy,Sci-Fi
随便的,正式的,Casual,Formal
薪酬过低的,薪酬过高的,Underpaid,Overpaid
干的,湿的,Dry,Wet
被低估的技能,被高估的技能,Underrated skill,Overrated skill
被禁止的,被鼓励的,Forbidden,Encouraged
悲伤的歌,开心的歌,Sad song,Happy song
易碎的,耐用的,Fragile,Durable
极客,呆瓜,Geek,Dork
善良的,邪恶的,Good,Evil
一年中最烂的一天,一年中最好的一天,Worst day of the year,Best day of the year
坏习惯,好习惯,Bad habit,Good habit
爱猫的人,爱狗的人,Cat person,Dog person
有负罪感的快乐,公然的热爱,Guilty pleasure,Openly love
缺乏才能的,天才,Untalented,Talented
黑暗,光明,Dark,Light
被低估的演员,被高估的演员,Underrated actor,Overrated actor
不易找到的,容易找到的,Hard to find,Easy to find
丑陋的男人,漂亮的男人,Ugly man,Beautiful man
不易记住的,容易记住的,Hard to remember,Easy to remember
低俗的人,知识分子,Lowbrow,Highbrow
有害健康的,有益健康的,Unhealthy,Healthy
坏男人,好男人,Bad man,Good man
历史意义重大的,历史意义无关紧要的,Historically important,Historically irrelevant
无毛的,多毛的,Hairless,Hairy
不灵活的,灵活的,Inflexible,Flexible
普通宠物,外来宠物,Normal pet,Exotic pet
内向的,外向的,Introvert,Extrovert
著作更好,电影更好,Book was better,Movie was better
差电影,好电影,Bad movie,Good movie
丑陋的,美丽的,Ugly,Beautiful
缓慢发生的,突然发生的,Happens slowly,Happens suddenly
工作,事业,Job,Career
被爱的,被恨的,Loved,Hated
原力的光明面,原力的黑暗面,The Light Side of the Force,The Dark Side of the Force
差披萨浇头,好披萨浇头,Bad pizza topping,Good pizza topping
反乌托邦,乌托邦,Dystopia,Utopia
成熟的人,幼稚的人,Mature person,Immature person
被低估的拥有的东西,被高估的拥有的东西,Underrated thing to own,Overrated thing to own
小气的人,大方的人,Mean person,Nice person
动作电影,冒险电影,Action movie,Adventure movie
脑力活动,体力活动,Mental activity,Physical activity
无争议的话题,有争议的话题,Uncontroversial topic,Controversial topic
需要,想要,Need,Want
干燥的食物,湿润的食物,Dry food,Wet food
平常的拥有的东西,怪异的拥有的东西,Normal thing to own,Weird thing to own
笔直的,弯曲的,Straight,Curvy
坏人,好人,Bad person,Good person
80后的,90后的,80s,90s
吃起来合乎道德的,吃起来不道德的,Ethical to eat,Unethical to eat
电影,片子,Movie,Film
可选的,必须的,Optional,Mandatory
被低估的字母,被高估的字母,Underrated letter of the alphabet,Overrated letter of the alphabet
平凡的,非凡的,Ordinary,Extraordinary
不易发音的,容易发音的,Hard to pronounce,Easy to pronounce
低品质,高品质,Low quality,High quality
不性感的动物,性感的动物,Unsexy animal,Sexy animal
朴素的,奢华的,Plain,Fancy
名声差的,名声好的,Has a bad reputation,Has a good reputation
粗劣的,精致的,Poorly made,Well made
